Id,Hazard,T1_V1,T1_V2,T1_V3,T1_V4,T1_V5,T1_V6,T1_V7,T1_V8,T1_V9,T1_V10,T1_V11,T1_V12,T1_V13,T1_V14,T1_V15,T1_V16,T1_V17,T2_V1,T2_V2,T2_V3,T2_V4,T2_V5,T2_V6,T2_V7,T2_V8,T2_V9,T2_V10,T2_V11,T2_V12,T2_V13,T2_V14,T2_V15
33400,1,13,18,2,N,A,Y,B,B,D,12,B,B,10,1,A,I,N,47,13,Y,6,C,2,37,1,15,6,Y,N,E,3,1
33405,7,12,7,5,B,I,N,B,B,E,3,M,B,10,1,A,M,Y,63,15,N,10,A,2,28,1,4,7,Y,Y,E,2,1
33408,7,9,18,2,E,C,Y,B,B,D,2,B,B,15,1,A,I,N,74,13,Y,12,A,2,25,1,1,6,N,N,A,2,2
33410,4,10,8,4,N,H,N,B,B,E,12,J,C,10,1,A,N,N,12,17,N,12,B,2,40,1,6,3,Y,N,E,3,1
33414,1,19,18,4,E,B,Y,B,B,D,8,B,B,20,2,A,A,N,16,11,Y,11,A,3,28,1,16,2,N,N,A,3,1
33419,1,5,16,3,N,A,Y,B,B,D,8,B,B,10,1,A,B,N,75,8,N,10,A,1,31,1,15,3,Y,N,E,1,4
33424,7,9,11,8,B,H,Y,B,B,D,7,B,B,15,2,A,B,N,92,12,Y,18,A,2,31,1,17,1,Y,N,E,2,7
33426,2,9,1,1,B,H,Y,B,B,E,3,H,B,15,3,A,R,N,41,13,N,8,B,2,31,1,9,4,N,N,A,4,1
33427,1,1,15,2,C,A,N,B,B,D,7,B,B,20,1,A,C,N,28,11,Y,7,B,2,34,1,21,6,N,N,E,2,1
33430,8,16,7,5,N,B,N,B,B,D,12,A,B,10,1,C,I,N,30,9,Y,14,A,3,25,1,15,7,N,N,A,3,4
33431,3,4,14,5,N,K,N,B,B,E,12,J,B,10,1,A,N,N,74,10,N,6,A,2,40,1,7,6,Y,N,D,5,1
33432,4,7,17,3,B,I,N,B,B,E,3,H,B,15,1,A,K,N,62,8,N,21,A,1,40,1,25,3,N,N,C,2,9
33433,1,6,9,2,N,A,N,B,B,D,8,B,D,10,3,A,A,N,36,7,N,20,A,1,34,1,18,6,N,N,A,1,6
33434,1,13,7,3,N,K,Y,B,B,E,8,H,B,10,1,A,M,N,91,27,N,8,A,1,28,1,14,3,Y,N,E,5,1
33435,1,15,13,2,N,K,Y,B,B,E,12,H,B,15,1,A,R,N,48,8,N,12,A,1,40,1,19,7,Y,N,E,1,1
33436,1,2,17,2,C,A,Y,B,B,B,12,B,C,10,2,A,B,N,59,14,N,20,A,2,37,1,25,5,Y,N,E,2,3
33437,4,14,13,6,N,H,N,B,B,D,8,A,B,15,1,A,I,N,100,25,N,11,A,2,25,1,11,5,Y,N,E,4,9
33438,1,6,15,1,B,K,Y,B,B,E,8,H,B,10,1,A,K,N,22,8,N,7,A,3,31,1,22,1,Y,N,E,6,6
33440,8,15,2,1,N,K,Y,D,B,E,8,H,B,20,2,A,K,N,54,13,N,7,A,1,40,1,13,1,N,N,A,1,4
33441,3,6,18,7,B,I,Y,B,B,E,3,J,B,5,1,A,R,Y,65,9,N,17,A,2,25,1,24,7,Y,Y,D,2,3
33442,2,8,23,4,W,H,Y,D,B,D,7,L,B,20,1,A,E,Y,77,22,N,18,C,2,40,2,13,3,Y,Y,E,2,1
33443,4,12,15,2,N,K,Y,B,B,E,8,H,B,20,1,A,K,N,75,27,N,7,A,2,40,1,10,6,Y,N,E,2,4
33448,11,6,23,4,E,K,N,B,B,E,8,H,B,5,3,A,R,N,54,13,N,7,A,1,22,1,20,4,N,N,A,1,4
33449,2,17,7,1,N,B,Y,B,B,D,3,B,B,20,3,A,A,N,46,9,N,9,A,1,28,1,20,7,Y,N,E,1,1
33451,1,15,20,4,B,H,Y,B,B,D,12,B,B,20,1,A,A,N,75,14,N,14,A,1,25,1,8,6,Y,N,E,1,2
33453,2,7,7,4,B,A,N,B,B,D,12,A,B,15,3,A,B,N,93,9,N,4,B,2,25,1,14,4,Y,N,E,3,1
33454,2,7,21,4,B,K,Y,B,B,E,12,H,B,15,2,C,N,N,84,13,N,21,A,1,22,1,4,7,N,N,A,1,10
33455,4,2,18,1,C,B,Y,B,B,B,8,B,B,15,1,A,B,N,67,24,Y,11,A,2,40,1,25,1,Y,N,C,2,1
33456,4,2,17,1,N,K,N,B,B,E,12,H,B,20,1,A,K,N,53,10,Y,9,C,2,28,1,15,7,Y,N,D,4,1
33461,4,9,5,4,E,K,N,B,B,E,8,H,B,10,3,A,N,N,81,14,N,8,A,2,22,1,9,6,Y,N,C,3,4
33462,9,14,4,3,N,K,N,D,B,F,2,H,B,10,2,A,K,N,68,21,N,11,A,2,40,1,9,5,Y,N,E,2,7
33468,1,3,15,9,C,K,Y,B,B,F,3,H,B,10,3,N,N,N,95,8,N,9,A,1,22,1,16,4,Y,N,E,1,5
33473,1,9,7,4,G,K,N,B,C,E,8,H,B,15,2,A,R,N,96,13,Y,16,A,2,40,1,16,6,Y,N,C,2,5
33474,1,9,9,2,N,H,Y,B,B,B,3,B,B,20,2,A,C,Y,62,15,N,8,B,1,34,1,16,6,N,N,A,3,1
33475,4,6,18,2,N,A,Y,B,B,B,8,B,B,15,1,A,B,N,59,15,N,8,A,1,40,1,3,7,Y,N,E,1,1
33476,1,13,6,4,S,K,Y,B,C,E,8,H,B,10,1,A,J,N,87,10,N,9,C,2,37,1,1,2,Y,N,E,2,1
33478,1,8,20,2,N,C,N,B,B,D,7,B,B,10,1,A,A,N,86,14,N,22,A,2,28,1,16,5,Y,N,E,2,1
33480,7,6,8,6,B,K,Y,B,B,F,8,H,B,10,1,A,R,Y,66,7,N,5,C,2,22,1,23,4,Y,Y,E,2,1
33481,1,5,17,5,C,K,N,B,B,E,12,J,B,20,1,N,R,Y,76,8,N,17,A,2,37,1,4,4,Y,Y,E,4,3
33483,7,5,11,3,N,K,Y,B,B,E,3,H,A,20,1,A,J,N,46,6,N,13,A,2,40,1,16,5,N,N,B,4,8
33484,9,8,12,8,N,K,Y,B,B,E,7,H,D,15,1,A,M,N,90,11,N,13,A,3,37,1,18,7,Y,N,E,3,7
33485,1,15,3,2,N,A,Y,B,B,D,3,B,B,20,1,A,B,N,57,7,N,4,B,2,40,1,18,2,N,N,A,2,1
33486,1,13,1,1,N,C,Y,B,D,D,7,B,B,15,1,A,A,N,87,17,N,7,B,2,40,1,14,7,Y,N,C,2,1
33487,7,9,6,1,N,B,N,B,B,D,8,B,B,15,1,A,B,N,73,10,N,9,C,2,40,1,10,4,Y,N,C,2,1
33488,5,3,15,4,E,H,Y,B,B,D,8,E,B,10,1,A,B,N,85,20,N,14,A,3,22,1,13,3,Y,N,C,3,10
33489,7,2,15,4,N,K,N,B,B,E,7,I,B,10,1,A,P,N,83,10,N,13,A,1,31,1,4,6,Y,N,D,1,2
33490,7,19,18,2,B,C,Y,B,B,C,7,B,B,10,1,A,B,N,31,12,Y,20,E,2,37,1,1,1,Y,N,C,2,10
33491,4,1,4,5,N,H,N,B,B,E,2,H,B,15,1,C,R,N,53,17,N,5,B,2,37,1,24,7,Y,N,E,2,11
33492,1,3,18,2,B,I,N,D,B,E,12,H,B,20,2,H,K,N,96,13,Y,19,A,2,31,1,14,7,Y,N,D,2,12
33494,16,18,23,4,N,A,N,B,B,D,8,B,B,20,3,A,I,N,24,9,N,9,B,2,25,1,3,4,Y,N,D,2,1
33496,5,4,19,1,N,B,Y,B,B,D,3,B,B,15,3,A,I,N,56,8,N,5,C,1,31,1,6,6,Y,N,C,1,1
33497,4,17,15,5,N,H,Y,B,B,E,8,N,B,20,1,A,R,N,57,7,Y,10,B,2,40,1,4,6,N,N,A,4,1
33498,1,2,13,1,C,A,Y,B,B,B,8,B,B,20,2,A,C,N,59,11,N,11,A,1,34,1,25,6,Y,N,E,3,2
33499,4,8,18,5,N,B,N,B,B,D,8,L,B,5,2,A,B,N,36,11,N,15,A,1,25,1,12,2,N,N,A,1,1
33501,1,12,22,4,S,C,Y,B,B,D,3,B,B,10,1,D,I,N,62,16,N,5,C,2,34,1,16,7,Y,N,D,4,1
33502,1,11,8,5,W,I,N,B,B,E,3,J,B,20,3,A,R,N,74,20,N,10,A,2,40,1,1,1,Y,N,E,2,2
33503,4,5,4,3,C,A,N,B,B,D,3,D,B,20,1,N,B,N,78,7,N,3,A,2,40,1,4,4,Y,N,E,2,1
33506,2,4,12,4,N,K,Y,B,B,E,3,J,B,20,2,A,K,Y,98,7,N,16,A,3,25,1,1,7,Y,Y,E,3,4
33507,4,7,20,5,N,A,N,B,B,D,3,B,B,15,1,C,I,N,83,7,N,8,A,2,37,1,1,6,Y,N,C,4,4
33508,1,4,13,4,N,H,Y,B,B,D,12,B,B,15,3,A,B,N,87,11,Y,6,C,2,37,1,13,3,Y,N,E,4,1
33509,1,18,17,3,C,A,Y,B,B,D,12,B,B,5,1,A,I,N,39,8,Y,2,B,1,40,1,15,7,N,N,A,1,1
33510,7,11,7,5,N,H,Y,B,B,D,12,L,B,10,3,A,I,N,53,32,N,5,A,2,31,1,2,7,Y,N,C,3,4
33511,7,9,17,3,W,H,N,B,B,D,8,B,B,20,3,A,B,N,84,14,Y,8,A,2,37,1,5,3,Y,N,D,4,3
33513,2,13,18,2,N,C,N,B,B,D,12,B,B,10,1,A,I,N,74,10,N,6,A,2,37,1,18,6,Y,N,E,2,4
33515,4,12,21,2,E,K,Y,B,B,E,3,H,B,10,2,A,K,N,52,21,N,4,A,2,40,1,21,1,Y,N,B,2,3
33516,2,12,21,2,B,H,N,B,B,D,8,E,B,10,3,H,I,N,54,24,N,9,A,1,34,1,17,7,Y,N,E,3,6
33519,5,10,12,2,N,H,Y,B,B,D,2,L,B,15,1,A,E,N,43,18,Y,15,A,1,40,1,8,5,Y,N,E,1,9
33521,1,17,17,6,B,B,N,B,B,D,12,B,B,20,1,A,G,N,68,9,Y,4,A,1,31,1,20,2,N,N,A,3,3
33523,1,11,6,4,N,C,Y,B,B,B,12,L,B,15,1,A,I,N,25,18,N,4,B,1,22,1,19,7,N,N,A,2,1
33524,1,15,11,2,N,H,N,B,B,B,12,B,B,10,3,A,B,N,2,11,N,16,A,2,25,1,18,5,N,N,A,2,8
33525,4,12,21,4,S,C,N,B,D,D,12,L,B,10,1,D,A,N,47,21,Y,13,A,1,40,1,14,7,Y,N,E,2,4
33527,5,2,18,1,C,K,Y,B,A,E,3,J,B,10,2,A,R,N,46,17,N,10,A,2,25,1,22,4,Y,N,E,1,2
33528,1,7,13,1,B,A,Y,B,D,B,12,B,B,10,2,A,H,N,28,9,Y,4,A,2,34,1,14,5,Y,N,E,3,1
33532,6,2,18,4,C,K,N,B,B,E,12,M,B,20,1,A,P,Y,99,13,N,17,C,2,40,1,23,3,Y,Y,D,4,4
33535,4,19,17,4,B,A,Y,B,B,D,8,B,B,10,1,A,D,N,58,9,N,5,B,2,40,1,11,7,N,N,A,4,1
33536,7,9,1,1,N,H,N,B,B,D,12,B,C,10,1,A,C,N,90,14,Y,5,B,1,40,1,3,6,Y,N,E,1,1
33537,4,4,6,4,N,K,Y,B,B,E,3,H,B,10,3,A,K,N,59,7,Y,15,C,3,25,1,21,1,Y,N,C,3,1
33542,1,17,1,1,N,H,Y,B,B,E,12,H,B,10,3,A,R,N,19,7,N,6,B,1,34,1,8,7,N,N,A,3,1
33543,7,8,4,2,N,C,Y,B,D,D,3,A,D,15,3,A,E,N,63,15,N,7,A,1,31,1,22,4,N,N,A,1,1
33545,1,2,18,1,C,K,N,B,B,E,12,H,B,15,3,A,R,N,44,19,Y,14,A,1,28,1,22,6,Y,N,E,2,3
33546,1,3,18,3,B,H,N,B,B,D,3,D,B,15,3,A,B,N,82,17,N,16,A,1,40,1,17,7,Y,N,E,1,5
33548,1,17,10,1,H,K,Y,B,B,E,3,H,B,15,1,C,M,N,40,8,Y,15,A,2,40,1,13,3,N,N,A,2,3
33549,3,13,17,5,N,H,N,B,B,E,12,J,B,15,1,A,N,N,18,15,N,3,B,2,37,1,7,7,N,N,A,2,1
33552,1,7,4,3,B,K,Y,B,B,E,8,H,B,5,1,A,Q,N,71,9,Y,19,A,2,28,1,11,6,Y,N,E,2,3
33554,4,19,18,5,N,K,N,B,B,E,2,H,B,10,1,A,K,N,85,17,N,10,A,2,40,1,14,5,Y,N,E,2,7
33557,5,14,20,3,N,K,Y,B,B,E,12,H,B,10,1,A,N,N,66,17,N,3,A,2,31,1,25,7,N,N,A,2,3
33558,1,14,12,3,N,K,N,B,B,E,3,J,B,20,1,A,K,Y,97,21,Y,17,A,2,22,1,12,5,Y,Y,E,4,6
33561,6,14,17,2,N,C,Y,B,B,D,3,B,B,5,3,A,A,N,53,8,Y,13,A,1,37,1,19,6,Y,N,E,1,6
33567,4,7,18,1,B,H,N,B,B,F,12,H,B,20,1,A,M,N,95,10,N,22,E,1,40,1,1,4,N,N,D,1,11
33569,1,15,8,4,S,K,N,B,B,F,8,H,B,10,3,A,K,Y,50,16,N,11,A,4,31,1,14,3,Y,Y,E,4,6
33571,1,9,6,3,N,K,Y,B,B,E,7,H,B,5,1,A,M,N,20,8,N,6,A,2,31,1,16,3,N,N,A,3,4
33572,1,14,19,1,H,K,Y,B,B,E,12,J,B,10,1,A,K,N,69,13,N,10,A,3,37,1,17,3,N,N,A,3,1
33574,3,14,21,5,N,K,N,B,B,E,3,H,B,20,1,A,K,N,48,25,Y,9,A,2,34,1,18,7,Y,N,E,4,3
33576,1,18,8,5,N,A,Y,B,B,D,2,B,B,10,1,A,B,Y,91,6,Y,9,A,2,28,1,10,6,N,Y,A,4,4
33577,2,8,17,3,B,A,N,B,B,D,12,B,B,15,1,A,E,N,99,12,N,12,A,4,31,1,3,4,Y,N,C,4,8
33578,3,8,18,4,B,I,Y,B,B,E,2,H,B,15,1,A,K,N,68,15,N,12,A,1,37,1,23,7,Y,N,E,1,6
33580,10,3,4,3,N,K,N,B,B,F,7,H,B,5,1,A,K,Y,49,7,N,10,C,2,37,1,1,4,Y,Y,C,2,1
33581,8,11,18,6,N,H,Y,D,B,D,8,L,B,10,1,A,I,N,41,16,N,16,A,1,28,1,16,3,Y,N,E,1,1
33582,1,13,19,2,B,K,N,B,B,E,3,H,B,20,1,A,R,N,7,13,N,5,C,2,37,1,11,1,Y,N,E,2,1
33584,2,6,21,2,B,A,N,B,B,D,7,B,B,15,1,A,I,Y,82,8,Y,14,A,2,34,1,13,5,Y,Y,E,2,10
33585,2,10,20,2,N,H,N,B,B,E,8,J,B,20,1,A,K,N,54,13,N,12,B,2,31,1,18,6,Y,N,E,2,1
33590,3,5,7,2,B,A,N,B,B,D,3,B,B,10,3,A,I,N,47,8,N,2,C,1,37,1,19,3,Y,N,E,1,1
33592,5,5,14,2,N,A,N,B,B,D,3,B,B,20,1,A,B,N,51,8,N,11,A,3,31,1,7,3,Y,N,C,5,8
33593,1,17,23,2,N,K,Y,B,B,E,2,I,B,10,3,W,L,N,86,8,N,19,A,2,22,1,16,2,Y,N,C,2,10
33595,10,1,16,2,C,A,N,B,B,D,12,F,B,15,2,A,A,N,23,19,Y,17,C,2,25,1,21,4,N,N,E,2,1
33596,10,9,18,1,B,K,Y,B,B,E,3,H,C,10,1,A,K,Y,3,14,N,5,C,2,28,1,2,4,Y,Y,E,2,1
33598,4,6,14,1,N,A,N,B,B,D,8,L,B,10,1,A,I,N,60,8,N,14,A,2,37,1,20,1,Y,N,E,2,5
33600,4,12,3,2,G,K,N,B,B,E,3,J,B,20,1,A,K,N,20,14,N,10,A,2,22,1,16,3,N,N,C,3,3
33601,19,10,1,1,N,C,N,B,A,D,12,L,C,10,1,A,E,N,53,22,N,4,A,2,40,1,10,4,Y,N,E,2,1
33602,5,3,11,3,N,C,N,B,B,B,8,B,B,15,1,A,I,Y,47,11,N,9,A,2,25,1,5,3,Y,Y,D,2,3
33610,4,5,2,1,C,K,Y,B,B,E,8,H,B,20,1,N,R,Y,69,9,N,9,A,1,40,1,15,6,N,Y,A,1,2
33611,1,14,6,2,E,K,Y,B,B,E,12,H,B,15,1,A,R,N,69,18,N,5,A,2,25,1,17,1,N,N,A,2,5
33616,4,14,18,1,N,C,Y,B,B,D,8,B,B,15,3,A,I,N,75,15,N,5,A,2,22,1,3,5,Y,N,E,3,2
33618,2,11,10,3,N,K,Y,B,B,E,7,J,B,10,1,A,K,N,77,12,Y,21,A,3,37,2,17,4,Y,N,E,3,5
33620,1,14,14,4,N,H,N,B,D,D,12,A,B,15,1,A,I,N,80,10,N,4,A,1,34,1,17,4,Y,N,D,1,1
33622,1,6,12,2,B,K,Y,B,B,E,2,H,B,20,3,A,R,N,44,6,N,9,A,3,28,1,1,4,Y,N,E,3,3
33624,1,6,7,5,N,K,N,B,B,E,2,H,B,20,3,A,R,N,53,7,N,10,A,2,25,1,18,4,Y,N,E,2,5
33625,4,4,5,4,N,C,N,B,B,D,3,B,B,10,1,A,B,N,84,9,Y,5,B,2,31,1,16,3,Y,N,E,2,1
33626,1,14,8,6,N,C,Y,A,B,D,7,L,B,15,1,A,I,Y,96,18,N,14,C,2,31,1,5,3,Y,Y,C,2,1
33627,1,8,20,1,N,C,Y,B,B,D,12,L,B,15,2,A,I,N,98,13,N,20,A,1,37,1,15,4,Y,N,D,1,12
33628,4,5,5,1,B,A,N,B,D,D,3,B,B,20,1,A,I,Y,49,8,N,16,A,3,40,1,17,7,Y,Y,E,3,1
33631,5,3,10,7,N,H,N,B,B,E,8,J,B,15,1,A,R,N,42,11,Y,19,D,1,25,1,18,6,Y,N,E,1,12
33632,5,14,22,1,W,H,Y,B,A,D,3,L,B,15,1,A,I,N,95,19,N,8,A,2,37,1,20,4,Y,N,D,2,4
33633,4,11,10,5,W,I,N,B,B,E,12,H,B,15,1,A,J,N,41,13,Y,11,A,2,40,1,17,1,Y,N,E,2,2
33634,1,15,13,1,W,H,N,B,B,E,12,H,B,20,3,A,R,N,31,16,N,6,B,2,22,1,11,3,Y,N,D,5,1
33636,2,8,20,1,N,H,N,B,B,D,8,B,D,10,1,A,E,N,54,20,N,6,A,2,31,1,5,2,Y,N,E,2,2
33637,1,12,19,1,N,A,Y,B,B,D,7,L,B,10,1,A,D,N,78,10,N,14,B,1,40,1,4,3,Y,N,E,1,1
33638,1,1,15,1,C,K,Y,B,B,E,7,J,B,20,3,A,R,N,43,18,Y,10,A,2,31,1,22,6,Y,N,C,5,1
33639,1,12,15,2,N,A,N,B,B,D,3,B,C,20,3,A,I,N,50,10,Y,21,A,2,37,1,20,6,Y,N,E,2,11
33640,4,9,2,1,B,C,N,B,B,D,3,B,D,10,1,A,B,N,59,12,N,5,A,2,40,1,1,3,N,N,A,5,2
33642,2,6,17,4,H,A,N,B,B,D,12,B,B,10,1,A,A,N,93,8,N,16,A,2,31,1,18,3,Y,N,E,2,9
33643,1,14,16,1,N,K,N,B,D,E,12,H,B,20,1,A,R,N,95,9,Y,17,C,2,34,1,16,6,Y,N,E,2,1
33645,1,9,23,6,N,B,N,B,B,D,12,B,B,20,1,W,D,N,40,12,N,5,B,3,22,1,5,7,Y,N,E,6,1
33647,4,10,23,3,N,C,N,B,B,D,3,L,B,10,1,A,D,N,32,19,N,6,B,1,28,1,18,6,Y,N,E,1,1
33649,25,10,18,4,N,K,N,B,B,E,12,K,B,20,1,A,M,N,43,15,Y,13,A,3,37,1,25,4,Y,N,E,3,4
33652,1,9,12,3,N,K,Y,D,B,E,8,J,B,5,2,A,K,N,53,9,N,16,A,5,40,1,17,7,Y,N,E,5,5
33653,1,6,1,1,B,A,Y,B,D,B,12,B,B,15,3,A,C,N,34,10,N,12,B,2,34,1,20,4,N,N,C,6,1
33654,13,1,17,2,N,A,N,C,B,D,3,L,C,10,1,A,H,N,50,20,N,11,A,2,40,1,23,4,Y,N,E,3,4
33655,7,2,7,3,C,A,Y,B,B,D,12,B,B,20,3,A,B,N,51,11,N,9,A,2,37,1,23,7,Y,N,E,5,4
33657,6,3,20,2,N,K,N,B,B,E,12,H,B,20,1,A,R,N,54,8,Y,16,A,2,31,1,1,1,Y,N,E,2,6
33658,4,3,21,1,E,H,Y,B,B,C,7,L,B,20,3,A,D,N,68,21,N,5,B,1,31,1,20,4,N,N,A,1,2
33660,1,12,19,3,B,C,N,B,B,D,2,B,B,10,1,A,B,Y,55,29,N,14,A,2,40,1,1,3,Y,Y,D,2,6
33661,1,8,1,1,N,H,N,B,B,E,12,J,B,20,3,A,K,N,22,11,N,6,B,1,34,1,13,5,Y,N,C,3,1
33664,4,10,1,1,N,C,Y,B,B,D,3,L,A,10,3,A,A,N,26,13,N,4,B,2,31,1,18,6,Y,N,E,3,1
33665,1,12,22,3,E,K,Y,B,B,E,3,H,B,15,3,C,N,N,79,23,Y,8,A,2,22,1,13,3,Y,N,D,2,3
33666,1,14,18,6,N,C,Y,B,B,D,2,B,B,5,1,A,I,N,58,12,N,11,A,1,25,1,24,1,Y,N,E,1,1
33671,22,12,10,4,N,K,N,B,B,E,3,J,B,10,1,A,R,Y,63,10,N,15,A,4,37,1,19,7,Y,Y,D,6,7
33673,4,6,6,4,N,K,Y,B,B,E,12,M,A,10,3,A,K,N,55,6,N,7,A,3,31,1,21,4,Y,N,D,4,4
33674,1,5,10,2,S,I,N,B,B,E,2,H,B,10,1,A,K,Y,74,9,N,11,A,2,37,1,5,5,Y,Y,E,2,1
33675,7,14,3,2,E,H,Y,B,B,D,3,B,B,15,1,A,I,N,67,22,N,12,B,1,37,1,16,1,N,N,A,2,1
33677,5,7,15,1,B,I,Y,B,B,E,3,H,B,20,1,A,J,N,98,8,N,14,A,3,40,1,5,1,Y,N,E,3,10
33678,3,6,18,2,B,L,Y,B,B,E,8,H,B,20,1,A,R,N,50,8,N,21,A,1,25,1,25,6,Y,N,E,1,12
33679,1,14,2,1,N,H,Y,B,B,D,7,A,B,20,1,A,I,N,67,24,N,4,B,3,31,1,6,6,N,N,A,3,1
33681,1,2,7,5,N,B,N,B,B,D,2,B,B,15,1,A,B,N,49,10,Y,8,A,2,22,1,21,1,N,N,A,5,6
33686,1,13,3,2,W,I,N,B,B,E,3,H,D,10,1,A,J,Y,52,11,Y,12,A,2,40,1,4,4,Y,Y,E,2,2
33691,5,11,7,5,N,C,N,B,B,D,8,L,B,10,1,A,E,Y,91,2,N,17,A,5,28,3,17,6,Y,Y,E,5,10
33692,4,7,4,3,B,A,N,B,B,B,7,B,B,20,3,A,B,N,53,10,N,15,B,2,28,1,1,6,Y,N,E,2,1
33693,1,13,19,4,B,C,N,B,B,D,3,L,B,10,1,A,I,Y,82,5,N,14,A,3,25,1,4,3,Y,Y,D,3,4
33694,2,14,22,1,B,C,N,B,B,D,3,L,B,15,1,D,I,N,68,13,N,6,B,3,31,1,2,6,N,N,A,4,1
33695,7,8,7,5,N,K,Y,B,C,E,3,I,B,15,3,A,R,N,91,12,N,18,A,4,25,1,17,5,Y,N,E,4,6
33696,1,5,11,2,B,A,Y,B,B,D,12,B,B,5,2,A,B,Y,55,8,N,6,A,2,40,1,5,7,Y,Y,E,3,4
33697,8,18,5,2,B,A,N,B,B,D,8,B,B,20,1,A,I,N,23,8,N,5,B,2,40,1,17,6,N,N,A,4,1
33699,2,15,8,5,N,H,Y,B,B,E,12,J,B,20,2,A,R,N,35,13,N,3,B,1,37,1,15,2,Y,N,D,1,1
33702,2,14,19,6,E,H,Y,B,B,D,8,B,B,15,1,A,I,N,65,11,N,4,B,1,37,1,12,2,N,N,A,1,1
33703,1,5,13,4,E,K,Y,B,B,E,12,H,B,10,2,S,Q,N,98,9,N,14,A,1,25,1,20,2,Y,N,B,1,8
33704,1,7,3,2,B,A,Y,B,B,D,7,B,B,10,3,A,B,N,71,8,Y,3,A,1,40,1,5,5,Y,N,E,1,1
33705,5,7,19,4,B,A,N,B,B,D,7,B,B,15,2,A,I,N,59,7,N,6,B,2,40,1,10,6,N,N,A,3,1
33709,3,15,17,4,B,K,Y,B,B,E,3,H,B,10,1,A,K,N,59,16,Y,13,A,2,31,1,12,5,N,N,C,2,6
33712,1,19,6,4,N,H,Y,D,B,E,7,H,B,20,3,A,R,N,14,10,N,3,B,2,40,1,2,6,N,N,A,2,1
33714,1,13,18,4,B,C,N,B,B,D,8,L,B,20,1,A,A,N,37,12,N,10,B,1,40,1,8,7,Y,N,E,1,1
33716,2,16,17,5,B,I,N,B,B,E,3,J,B,15,1,A,K,N,33,8,N,14,A,2,40,1,5,6,N,N,C,2,11
33717,1,14,13,3,N,A,Y,B,B,D,3,A,B,15,1,A,I,N,71,8,Y,9,A,2,40,1,19,4,N,N,A,2,3
33720,1,19,7,1,N,K,N,B,B,E,8,H,B,20,1,A,R,N,35,11,N,8,A,2,34,1,6,1,N,N,A,6,5
33721,7,10,1,1,G,K,Y,B,B,F,12,H,B,10,1,A,R,N,29,13,N,14,A,2,34,1,4,6,Y,N,D,2,1
33726,1,3,7,5,N,A,N,B,B,D,3,B,B,10,1,A,I,N,64,9,Y,18,A,2,37,1,18,7,Y,N,E,2,5
33727,1,13,5,4,N,C,N,B,B,D,12,B,B,10,1,A,I,N,36,10,N,10,A,2,34,1,11,1,Y,N,C,3,4
33728,4,7,9,6,B,A,N,B,B,D,3,B,B,20,3,A,B,Y,69,7,N,9,B,2,22,1,9,4,Y,Y,E,3,1
33731,1,15,2,1,N,C,N,B,B,B,12,B,B,15,1,A,I,N,29,12,Y,9,B,3,40,2,19,7,N,N,A,4,1
33735,1,18,1,1,N,A,N,B,B,D,3,B,B,20,3,A,B,N,14,7,N,14,B,3,28,1,15,4,Y,N,C,2,1
33736,1,13,8,6,S,C,Y,B,C,B,12,E,B,20,1,A,I,N,75,22,N,17,A,2,31,1,15,6,Y,N,D,2,4
33738,3,7,13,2,B,H,Y,D,B,E,8,H,B,10,1,A,K,N,49,6,N,5,B,2,31,1,6,4,Y,N,E,4,1
33740,3,5,19,1,C,K,N,B,B,E,7,H,B,15,1,A,R,N,64,11,N,12,C,2,28,1,4,6,Y,N,E,2,1
33742,4,5,12,4,C,H,Y,B,B,E,12,H,B,10,3,A,L,N,47,9,N,16,B,1,22,1,11,6,Y,N,C,1,1
33743,2,14,18,5,E,K,N,B,B,E,7,J,B,10,2,A,K,N,82,10,Y,10,A,3,40,1,7,7,Y,N,C,3,5
33744,2,1,20,7,C,C,N,D,B,D,12,L,B,10,1,A,A,N,41,24,Y,9,D,1,34,1,21,3,Y,N,D,4,1
33745,7,9,18,1,B,I,Y,B,B,E,3,H,B,10,1,A,J,N,87,18,N,16,A,2,34,1,20,4,Y,N,E,2,12
33747,1,5,2,2,C,H,Y,B,B,F,3,H,B,5,1,N,Q,N,42,9,N,3,B,1,28,1,4,4,N,N,A,1,1
33750,4,15,6,3,N,C,Y,B,B,B,7,B,D,20,1,A,A,N,44,15,Y,12,A,2,25,1,25,7,Y,N,E,2,10
33754,7,15,3,2,N,K,N,B,B,E,2,H,B,20,1,A,L,N,14,13,N,4,A,2,28,1,1,7,N,N,A,4,3
33755,4,9,12,4,N,A,N,B,B,D,8,B,B,5,1,A,I,N,98,12,N,15,A,3,34,1,17,7,N,N,E,3,1
33756,1,8,1,1,N,C,Y,B,B,D,8,B,B,5,1,A,I,N,42,13,Y,3,B,2,25,1,5,2,N,N,A,2,1
33757,1,5,17,2,B,K,N,B,B,E,8,H,D,15,3,A,N,N,11,6,Y,14,A,2,22,1,12,6,Y,N,C,2,12
33762,1,8,5,4,E,K,N,B,B,E,12,H,B,20,1,A,R,N,58,20,N,10,A,2,25,1,15,4,Y,N,C,4,1
33763,5,5,15,5,B,A,Y,B,B,D,12,B,B,20,2,A,B,Y,78,8,N,8,A,2,40,1,16,3,Y,Y,E,2,1
